Date,Close,High,Low,Open,Volume,Return,Volatility,Momentum
2010-02-04,5.779475688934326,5.969666750026578,5.765030432027498,5.920312925847301,757652000,-0.036038602551557886,0.023785442393483035,6.162122612907773
2010-02-05,5.88209342956543,5.89834434204499,5.743362002184347,5.796929021216515,850306800,0.017755544993048433,0.024141965764707427,6.139896188463483
2010-02-08,5.841769695281982,5.954921813326952,5.838158380532967,5.889016926329096,478270800,-0.0068553372649210464,0.024151117296759617,6.116308484758649
2010-02-09,5.904061794281006,5.943484095725728,5.860726834641201,5.91098307689227,632886800,0.010663224031124185,0.024251894103906713,6.093680926731655
2010-02-10,5.87186336517334,5.916402513346541,5.845983078914016,5.895035165286074,370361600,-0.005453606386514265,0.024225354572916823,6.072199776059105
2010-02-11,5.97869348526001,6.0111949052638085,5.839962071377975,5.864638978727041,550345600,0.01819356368547176,0.02458531280183687,6.059230827149891
2010-02-12,6.030155181884766,6.068073178458809,5.883298281323169,5.961842358404085,655468800,0.00860751546330829,0.024435965094174793,6.044513679686046
2010-02-16,6.121038436889648,6.129765378733116,6.064462380073955,6.0771015794095895,543737600,0.015071462054228046,0.024700652054318522,6.035872550237746
2010-02-17,6.095457553863525,6.148421880884096,6.044598621119907,6.144810567189202,436396800,-0.004179173728424024,0.024454685471495846,6.031028951917376
2010-02-18,6.106894016265869,6.13578413084111,6.046405702998772,6.067771843810248,422825200,0.0018762270594592234,0.02222528308811375,6.013675031207857
2010-02-19,6.068976402282715,6.1150198620807625,6.052124001791336,6.074694719136381,415469600,-0.0062089851047291145,0.022048943330738167,5.999258767990839
2010-02-22,6.03135871887207,6.093953629779706,5.994343951639114,6.08913894570441,390563600,-0.006198357172141122,0.02179794013829999,5.988296077364967
2010-02-23,5.930243968963623,6.058743752775308,5.889617889778194,6.018719157494267,575094800,-0.01676483767945358,0.019202380257707916,5.987307276044573
2010-02-24,6.038580894470215,6.062053631168325,5.953716223438179,5.965452993580057,460566400,0.01826854444329462,0.01868324703133185,5.98385374886649
